Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
fibroblast growth factor 7 precursor [Homo sapiens]	Protein	FGF7	18	1	1.321692484
heparan sulfate proteoglycan 2 [Homo sapiens]	Protein	HSPG2	17	2	1.402853322
scaffold attachment factor B [Homo sapiens]	Protein	SAFB	15	1	1.09129832
estrogen receptor 1 [Homo sapiens]	Protein	ESR1	23	2	1.116181039
neurotrophic tyrosine kinase, receptor, type 1 isoform 3 [Homo sapiens]	Protein	NTRK1	27	1	1.165368891
v-abl Abelson murine leukemia oncogene 1 [Mus musculus]	Protein	Abl1 [Mus musculus]	4	1	0
phospholipase C, gamma 1 [Mus musculus]	Protein	Plcg1 [Mus musculus]	6	1	0
bone morphogenetic protein receptor, type IA precursor [Homo sapiens]	Protein	BMPR1A	26	1	1.56780585
bone morphogenetic protein receptor type II precursor [Homo sapiens]	Protein	BMPR2	18	1	1.134941665
bone morphogenetic protein receptor, type 1B [Mus musculus]	Protein	Bmpr1b [Mus musculus]	9	1	0
fibroblast growth factor receptor 1 [Mus musculus]	Protein	Fgfr1 [Mus musculus]	3	1	0
ring finger protein 4 [Homo sapiens]	Protein	RNF4	4	1	0.766685722
thyroid hormone receptor, beta [Homo sapiens]	Protein	THRB	23	0	1.639391924
nuclear receptor subfamily 3, group C, member 1 isoform alpha [Homo sapiens]	Protein	NR3C1	88	3	1.081001316
nuclear receptor subfamily 2, group F, member 6 [Homo sapiens]	Protein	NR2F6	9	1	1.206858076
tyrosine 3/tryptophan 5 -monooxygenase activation protein, eta polypeptide [Homo sapiens]	Protein	YWHAH	41	1	0.979698114
cell division cycle 25B isoform 2 [Homo sapiens]	Protein	CDC25B	10	1	0.959893423
cyclin-dependent kinase 4 [Homo sapiens]	Protein	CDK4	66	0	1.043962812
nuclear receptor coactivator 1 isoform 1 [Homo sapiens]	Protein	NCOA1	51	1	1.00521061
chapsyn-110 [Homo sapiens]	Protein	DLG2	17	1	1.178110809
postsynaptic density protein 95 [Homo sapiens]	Protein	DLG4	87	1	0.952434708
basic beta 2 syntrophin isoform a [Homo sapiens]	Protein	SNTB2	13	1	1.081377814
keratin 5 [Homo sapiens]	Protein	KRT5	11	1	0.680286346
arachidonate 12-lipoxygenase [Homo sapiens]	Protein	ALOX12	5	1	0.806746056
MYC-associated zinc finger protein [Homo sapiens]	Protein	MAZ	4	0	0.881237399
fetal Alzheimer antigen isoform 2 [Homo sapiens]	Protein	FALZ	3	2	0.924854346
succinate-CoA ligase, ADP-forming, beta subunit [Homo sapiens]	Protein	SUCLA2	7	2	1.349447136
aminolevulinate, delta-, synthase 2 isoform a [Homo sapiens]	Protein	ALAS2	8	1	0.666144888
peroxisome proliferative activated receptor gamma isoform 1 [Homo sapiens]	Protein	PPARG	35	1	1.065130197
Fanconi anemia, complementation group C [Homo sapiens]	Protein	FANCC	3	1	0.802116491
Fanconi anemia, complementation group F [Homo sapiens]	Protein	FANCF	7	0	0.598716651
HIR (histone cell cycle regulation defective, S. cerevisiae) homolog A [Homo sapiens]	Protein	HIRA	8	1	0.799272182
v-yes-1 Yamaguchi sarcoma viral related oncogene homolog [Homo sapiens]	Protein	LYN	75	2	0.514756042
protein kinase C, epsilon [Mus musculus]	Protein	Prkce [Mus musculus]	2	1	0
RUN and FYVE domain-containing 1 [Homo sapiens]	Protein	RUFY1	4	2	0.920895544
BMX non-receptor tyrosine kinase [Homo sapiens]	Protein	BMX	18	1	0.868816556
polycystin 2 [Homo sapiens]	Protein	PKD2	9	3	1.104586378
polycystin 1 isoform 2 precursor [Homo sapiens]	Protein	PKD1	15	1	1.202658119
beta-site APP-cleaving enzyme 1 isoform A preproprotein [Homo sapiens]	Protein	BACE1	6	1	1.374850815
RAN binding protein 9 [Homo sapiens]	Protein	RANBP9	13	2	1.148382204
insulin-like growth factor 1 receptor precursor [Homo sapiens]	Protein	IGF1R	50	2	1.110454855
protein tyrosine phosphatase, receptor type, C [Mus musculus]	Protein	Ptprc [Mus musculus]	4	1	0
DNA topoisomerase I [Homo sapiens]	Protein	TOP1	44	0	0.809556498
nucleolin [Homo sapiens]	Protein	NCL	34	0	1.055844004
activin A receptor type II-like 1 [Homo sapiens]	Protein	ACVRL1	8	1	1.671507438
activin A receptor, type 1 [Mus musculus]	Protein	Acvr1 [Mus musculus]	3	1	0
activin A receptor, type 1B [Mus musculus]	Protein	Acvr1b [Mus musculus]	3	1	0
v-rel reticuloendotheliosis viral oncogene homolog [Homo sapiens]	Protein	REL	42	1	0.661200592
mitogen-activated protein kinase 8 isoform 2 [Homo sapiens]	Protein	MAPK8	50	1	1.078596156
interferon-alpha receptor 1 precursor [Homo sapiens]	Protein	IFNAR1	20	3	0.8433462
tyrosine kinase 2 [Homo sapiens]	Protein	TYK2	31	0	0.879075843
nucleophosmin 1 isoform 3 [Homo sapiens]	Protein	NPM1	34	1	1.047043528
cyclin-dependent kinase inhibitor 1A [Homo sapiens]	Protein	CDKN1A	71	3	1.025085022
nitric oxide synthase 2, inducible, macrophage [Mus musculus]	Protein	Nos2 [Mus musculus]	7	1	0
abl interactor 2 [Homo sapiens]	Protein	ABI2	15	1	1.142452577
E2F transcription factor 1 [Homo sapiens]	Protein	E2F1	43	1	0.771770016
DNA-damage-inducible transcript 3 [Homo sapiens]	Protein	DDIT3	40	1	1.028933824
CCAAT/enhancer binding protein beta [Homo sapiens]	Protein	CEBPB	47	3	1.138282963
lipopolysaccharide-binding protein precursor [Homo sapiens]	Protein	LBP	7	3	1.064746248
apolipoprotein A-I preproprotein [Homo sapiens]	Protein	APOA1	72	2	1.050573274
complement factor H-related 1 [Homo sapiens]	Protein	CFHR1	5	2	0.43650329
colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Homo sapiens]	Protein	CSF2RB	17	1	0.689802302
serine/threonine kinase 4 [Homo sapiens]	Protein	STK4	8	0	0.861451587
low density lipoprotein-related protein 1 [Homo sapiens]	Protein	LRP1	53	1	1.032190728
low density lipoprotein receptor-related protein associated protein 1 [Homo sapiens]	Protein	LRPAP1	15	1	0.926420002
heat shock 70kDa protein 1B [Homo sapiens]	Protein	HSPA1B	223	1	0
heat shock 70kDa protein 1A [Homo sapiens]	Protein	HSPA1A	3	1	1.114506055
adenylyl cyclase-associated protein [Homo sapiens]	Protein	CAP1	11	2	0.970365847
adenylyl cyclase-associated protein 2 [Homo sapiens]	Protein	CAP2	8	1	2.006522602
hypoxia-inducible factor 1, alpha subunit isoform 1 [Homo sapiens]	Protein	HIF1A	39	4	0.851934111
interleukin 8 receptor alpha [Homo sapiens]	Protein	IL8RA	16	2	0.813379266
aryl hydrocarbon receptor nuclear translocator isoform 1 [Homo sapiens]	Protein	ARNT	18	2	1.334391165
upstream of NRAS isoform 1 [Homo sapiens]	Protein	CSDE1	10	3	1.078455149
semaphorin 4D [Homo sapiens]	Protein	SEMA4D	5	0	0.897103579
epidermal growth factor receptor pathway substrate 15 [Homo sapiens]	Protein	EPS15	37	1	1.280464378
aryl hydrocarbon receptor nuclear translocator-like isoform a [Homo sapiens]	Protein	ARNTL	10	1	0.908177457
endothelial PAS domain protein 1 [Homo sapiens]	Protein	EPAS1	8	4	1.422005326
neuronal PAS domain protein 2 [Homo sapiens]	Protein	NPAS2	9	2	1.372483719
v-erb-a erythroblastic leukemia viral oncogene homolog 4 [Rattus norvegicus]	Protein	Erbb4 [Rattus norvegicus]	4	0	0
v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog [Rattus norvegicus]	Protein	Erbb2 [Rattus norvegicus]	5	1	0
MAD, mothers against decapentaplegic homolog 4 [Homo sapiens]	Protein	SMAD4	140	2	1.163381531
heat shock protein 90kDa alpha (cytosolic), class A member 1 isoform 1 [Homo sapiens]	Protein	HSP90AA1	108	0	1.055977642
proteolipid protein 2 (colonic epithelium-enriched) [Homo sapiens]	Protein	PLP2	7	1	1.106322527
UDP-glucose ceramide glucosyltransferase-like 1 isoform 1 [Homo sapiens]	Protein	UGCGL1	11	1	1.057819749
c-src tyrosine kinase [Homo sapiens]	Protein	CSK	27	1	0.640194266
phosphoinositide-3-kinase, regulatory subunit, polypeptide 1 isoform 2 [Homo sapiens]	Protein	PIK3R1	100	0	1.124060892
phosphoinositide-3-kinase, regulatory subunit 2 (p85 beta) [Homo sapiens]	Protein	PIK3R2	28	1	1.26966112
AXL receptor tyrosine kinase isoform 2 [Homo sapiens]	Protein	AXL	18	3	1.46762478
protein tyrosine phosphatase, receptor type, C-associated protein [Homo sapiens]	Protein	PTPRCAP	5	1	0.618818259
protein tyrosine phosphatase, receptor type, C isoform 1 precursor [Homo sapiens]	Protein	PTPRC	37	3	0.500933285
apolipoprotein E precursor [Homo sapiens]	Protein	APOE	23	1	0.905115106
signal transducer and activator of transcription 2 [Homo sapiens]	Protein	STAT2	9	0	0.917782765
interferon-stimulated transcription factor 3, gamma 48kDa [Homo sapiens]	Protein	ISGF3G	5	1	0.971883932
lipoprotein, Lp(a) [Homo sapiens]	Protein	LPA	7	0	0.88879629
platelet glycoprotein Ib alpha polypeptide precursor [Homo sapiens]	Protein	GP1BA	27	1	0.963450772
catenin, alpha 1 [Homo sapiens]	Protein	CTNNA1	17	3	1.060396603
actinin, alpha 1 [Homo sapiens]	Protein	ACTN1	32	2	0.928917747
cadherin 1, type 1 preproprotein [Homo sapiens]	Protein	CDH1	54	1	0.364444499
SET translocation (myeloid leukemia-associated) [Homo sapiens]	Protein	SET	43	0	1.056313282
beta isoform of regulatory subunit A, protein phosphatase 2 isoform a [Homo sapiens]	Protein	PPP2R1B	14	1	0.906193062
heterogeneous nuclear ribonucleoprotein U isoform b [Homo sapiens]	Protein	HNRPU	132	1	1.034065827
damage-specific DNA binding protein 1 [Homo sapiens]	Protein	DDB1	50	1	1.040695533
damage-specific DNA binding protein 2 (48kD) [Homo sapiens]	Protein	DDB2	28	1	0.905202458
eukaryotic translation initiation factor 4 gamma, 3 [Homo sapiens]	Protein	EIF4G3	5	1	1.114394909
eukaryotic translation initiation factor 4E [Homo sapiens]	Protein	EIF4E	93	1	1.096150495
transforming growth factor beta 1 induced transcript 1 [Homo sapiens]	Protein	TGFB1I1	18	1	1.425924963
growth hormone receptor precursor [Homo sapiens]	Protein	GHR	27	2	2.352404438
Janus kinase 2 [Mus musculus]	Protein	Jak2 [Mus musculus]	8	1	0
protein tyrosine phosphatase, non-receptor type 11 [Mus musculus]	Protein	Ptpn11 [Mus musculus]	8	1	0
cullin 2 [Homo sapiens]	Protein	CUL2	20	2	1.087135634
elongin C [Homo sapiens]	Protein	TCEB1	116	0	1.101813873
elongin B isoform a [Homo sapiens]	Protein	TCEB2	106	1	0.997391234
von Hippel-Lindau tumor suppressor isoform 1 [Homo sapiens]	Protein	VHL	216	1	1.027565856
transforming growth factor, beta receptor I precursor [Homo sapiens]	Protein	TGFBR1	153	2	1.170717836
TGF-beta type II receptor isoform A precursor [Homo sapiens]	Protein	TGFBR2	35	3	1.056390369
Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1 [Homo sapiens]	Protein	CITED1	6	1	0.993423822
GCN5 general control of amino-acid synthesis 5-like 2 [Homo sapiens]	Protein	GCN5L2	18	2	0.913326761
ATP-dependent DNA helicase II [Homo sapiens]	Protein	XRCC5	68	2	0.889960122
ATP-dependent DNA helicase II, 70 kDa subunit [Homo sapiens]	Protein	XRCC6	98	1	1.01581825
luteinizing hormone/choriogonadotropin receptor precursor [Homo sapiens]	Protein	LHCGR	9	1	0.940406656
calnexin precursor [Homo sapiens]	Protein	CANX	45	3	1.01163699
integrin alpha 2 precursor [Homo sapiens]	Protein	ITGA2	16	2	0.774134292
integrin beta 1 isoform 1A precursor [Homo sapiens]	Protein	ITGB1	119	3	1.120302913
polymerase (DNA directed), delta 1, catalytic subunit 125kDa [Homo sapiens]	Protein	POLD1	37	1	0.826164284
cyclin-dependent kinase 2 isoform 1 [Homo sapiens]	Protein	CDK2	249	2	0.917754396
PRP4 pre-mRNA processing factor 4 homolog [Homo sapiens]	Protein	PRPF4	118	1	0.980351686
insulin receptor [Mus musculus]	Protein	Insr [Mus musculus]	3	1	0
tumor rejection antigen (gp96) 1 [Homo sapiens]	Protein	HSP90B1	15	1	0.973414136
epidermal growth factor receptor isoform a [Homo sapiens]	Protein	EGFR	217	4	1.630131195
BCL2-antagonist of cell death protein [Homo sapiens]	Protein	BAD	25	1	0.92909567
B-cell lymphoma protein 2 alpha isoform [Homo sapiens]	Protein	BCL2	68	0	1.063674453
coilin [Homo sapiens]	Protein	COIL	32	0	0.940874546
TNF receptor-associated factor 5 [Homo sapiens]	Protein	TRAF5	19	3	0.5836568
TNF receptor-associated factor 6 [Homo sapiens]	Protein	TRAF6	382	0	1.022966568
chloride channel, nucleotide-sensitive, 1A [Homo sapiens]	Protein	CLNS1A	9	3	1.004401336
villin 2 [Homo sapiens]	Protein	VIL2	55	1	0.730869994
intercellular adhesion molecule 2 precursor [Homo sapiens]	Protein	ICAM2	9	3	0.900370556
adaptor-related protein complex 1 beta 1 subunit isoform a [Homo sapiens]	Protein	AP1B1	9	1	0.740310485
ataxia telangiectasia mutated protein isoform 1 [Homo sapiens]	Protein	ATM	27	1	0.945093497
H2B histone family, member T [Homo sapiens]	Protein	HIST1H2BK	34	0	0.739280009
signal transducer and activator of transcription 1 isoform alpha [Homo sapiens]	Protein	STAT1	53	1	0.994139714
signal transducer and activator of transcription 3 isoform 2 [Homo sapiens]	Protein	STAT3	69	0	1.138511887
protein kinase raf 1 [Mus musculus]	Protein	Raf1 [Mus musculus]	4	1	0
splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated) [Homo sapiens]	Protein	SFPQ	24	0	1.121625354
v-fos FBJ murine osteosarcoma viral oncogene homolog [Homo sapiens]	Protein	FOS	52	2	0.67823952
myc proto-oncogene protein [Homo sapiens]	Protein	MYC	289	2	0.885383772
v-myc myelocytomatosis viral related oncogene, neuroblastoma derived [Homo sapiens]	Protein	MYCN	6	1	0.99614294
tumor necrosis factor receptor superfamily, member 7 precursor [Homo sapiens]	Protein	TNFRSF7	7	1	0.623697244
integrin alpha 3 isoform a precursor [Homo sapiens]	Protein	ITGA3	12	1	0.892126867
integrin alpha 5 precursor [Homo sapiens]	Protein	ITGA5	17	1	1.02799017
CD9 antigen [Homo sapiens]	Protein	CD9	21	2	0.856247928
phospholipase C, gamma 2 (phosphatidylinositol-specific) [Homo sapiens]	Protein	PLCG2	27	2	0.857389906
promyelocytic leukemia zinc finger protein [Homo sapiens]	Protein	ZBTB16	93	2	1.262858687
voltage-dependent anion channel 1 [Homo sapiens]	Protein	VDAC1	47	2	1.155808547
erythropoietin receptor precursor [Homo sapiens]	Protein	EPOR	35	2	0.778440029
regulator of G-protein signalling 3 isoform 3 [Homo sapiens]	Protein	RGS3	7	4	1.063643461
guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Homo sapiens]	Protein	GNA11	13	1	1.246043215
guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 3 [Homo sapiens]	Protein	GNAI3	25	3	0.766208694
sarcoglycan, alpha (50kDa dystrophin-associated glycoprotein) [Homo sapiens]	Protein	SGCA	8	1	3.400556577
sarcoglycan, beta (43kDa dystrophin-associated glycoprotein) [Homo sapiens]	Protein	SGCB	4	0	1.821133725
delta-sarcoglycan isoform 1 [Homo sapiens]	Protein	SGCD	8	0	2.644769882
gamma sarcoglycan [Homo sapiens]	Protein	SGCG	2	2	3.598851292
S100 calcium-binding protein A9 [Homo sapiens]	Protein	S100A9	13	1	0.511154914
S100 calcium-binding protein A8 [Homo sapiens]	Protein	S100A8	27	1	0.754843414
TNFRSF1A-associated via death domain isoform 1 [Homo sapiens]	Protein	TRADD	65	0	0.799879146
cadherin 2, type 1 preproprotein [Homo sapiens]	Protein	CDH2	12	1	1.311686348
janus kinase 1 [Homo sapiens]	Protein	JAK1	43	2	1.098887565
plasminogen activator, urokinase receptor isoform 2 precursor [Homo sapiens]	Protein	PLAUR	21	2	0.811979403
solute carrier family 25, member A6 [Homo sapiens]	Protein	SLC25A6	90	0	0.993405318
immunoglobulin lambda variable 4-3 [Homo sapiens]	Protein	IGLV4-3	13	0	0.285851355
immunoglobulin lambda variable 8-61 [Homo sapiens]	Protein	IGLV8-61	13	0	0
immunoglobulin lambda variable 3-16 [Homo sapiens]	Protein	IGLV3-16	13	0	0
immunoglobulin lambda variable 2-18 [Homo sapiens]	Protein	IGLV2-18	13	0	0
immunoglobulin lambda variable 2-33 [Homo sapiens]	Protein	IGLV2-33	13	0	0
immunoglobulin lambda variable 1-36 [Homo sapiens]	Protein	IGLV1-36	13	0	0.140810466
immunoglobulin lambda variable 5-37 [Homo sapiens]	Protein	IGLV5-37	13	0	0
immunoglobulin lambda variable 1-40 [Homo sapiens]	Protein	IGLV1-40	13	0	0.53699381
immunoglobulin lambda variable 3-22 [Homo sapiens]	Protein	IGLV3-22	13	0	0
immunoglobulin lambda variable 4-60 [Homo sapiens]	Protein	IGLV4-60	13	0	0.465612893
immunoglobulin lambda variable 7-43 [Homo sapiens]	Protein	IGLV7-43	13	0	0
immunoglobulin lambda variable 1-44 [Homo sapiens]	Protein	IGLV1-44	13	1	0
immunoglobulin lambda variable 5-45 [Homo sapiens]	Protein	IGLV5-45	13	0	0
immunoglobulin lambda variable 7-46 [Homo sapiens]	Protein	IGLV7-46	13	0	0
immunoglobulin lambda variable 2-11 [Homo sapiens]	Protein	IGLV2-11	13	0	0
immunoglobulin lambda variable 3-12 [Homo sapiens]	Protein	IGLV3-12	13	0	0
immunoglobulin lambda variable 10-54 [Homo sapiens]	Protein	IGLV10-54	13	0	0
