Gene	Connectivity.score	Relevance.score	Localisation.score	TS.score	Fc.score
EIF2S2	81	1	1.01911492538169	0.740331491712707	0.019874480153874
EIF2S3	73	2	1.02359000244598	0.251351351351351	0.0928952295505792
EIF3S10	74	3	1.04756326153085	0.336907497684175	0.00411980249671091
EIF3S12	68	2	1.06799384832282	0.336907497684175	0.00411980249671091
EIF3S2	78	2	1.06919691839362	0.336907497684175	0.00411980249671091
EIF3S3	112	1	1.02225480922266	0.336907497684175	0.00411980249671091
EIF3S6	84	2	1.05814564303686	0.336907497684175	0.00411980249671091
EIF3S7	65	2	1.03418851536375	0.336907497684175	0.00411980249671091
EIF3S8	64	0	0.607628212803005	0.336907497684175	0.00411980249671091
EIF3S9	59	2	1.03270368155066	0.336907497684175	0.00411980249671091
EIF4A1	72	2	0.961047775609255	0.0932856356631811	0.0356101205657879
EIF4A2	61	1	1.06151185136893	0.465214207250091	-0.027237587363661
EIF4E	92	1	1.09615049454385	0.322314049586777	-0.021531792538434
EIF4G1	80	2	1.09020405640399	0.953574060427414	0.221314376824384
EPB41	101	1	1.04961111729024	0.175090252707581	0.279843794323257
EPOR	34	2	0.778440028524573	0.039568345323741	-0.604920255523157
ETF1	92	2	0.908200559802995	0.251461988304094	0.111887476498586
EWSR1	128	1	0.984559053688511	0.301652892561983	-0.0519913736077073
FHL2	19	2	1.45571871934649	0.055447848003102	0.152304047400427
FRAP1	15	1	1.11084196874155	0.336907497684175	0.00411980249671091
FTS	22	2	1.26158701323893	0.336907497684175	0.00411980249671091
FTSJ1	105	1	1.09090462111023	0.337078651685393	-0.217070483324208
FUS	127	1	1.00398951387282	0.407139991977537	-0.102636972062796
GAPDH	45	3	1.06414861855568	2.22954901123915	-0.075393171635624
GBP4	115	2	1.03962583157423	0.114285714285714	0.0960487934002263
GEMIN4	36	1	0.84536537089547	0.0931174089068826	-0.0979325005920121
GH1	85	0	1.03003034591654	0	-0.431018507656009
GNB2L1	64	1	1.03892910418146	0.252602389078498	-0.442378989624691
GRB2	454	0	0.900298508146349	0.169056603773585	0.104194823297389
GSK3B	81	1	1.16170011131802	0.258258258258258	0.3709089293341
GSTK1	97	3	1.03740422461335	0.366264178558361	-0.222107996563199
HDAC1	136	0	0.855398645656637	0.0635876840696118	-0.0904762848164925
HDAC2	60	2	1.04651377090942	0.335625859697387	-0.0577516669157369
HDAC4	26	1	1.29063652370303	0.646341463414634	0.0867242757910359
HGS	39	1	0.907297519522233	0.195086705202312	-0.306659442796967
HIF1A	38	4	0.851934110839016	0.012420566146736	0.341948807163144
HLA-B	278	0	0.951782688234401	0.0713841368584759	0.00411980249671091
HNRPD	124	1	1.00449014329947	0.336907497684175	0.00411980249671091
HNRPK	153	1	1.04390799219553	0.336907497684175	0.00411980249671091
HNRPL	132	2	1.04828695648573	0.336907497684175	0.00411980249671091
HNRPU	131	1	1.03406582719153	0.336907497684175	0.00411980249671091
HSF1	29	2	1.1970291340735	0.482723577235772	-0.0577557347480119
HSP90AA1	87	0	1.05597764190552	0.304336734693878	0.348988099123263
HSP90AB1	74	1	1.07628956585172	0.43587750660656	0.126874340966056
HSPA1B	222	1	0	0.152900582273021	0.00411980249671091
HSPA5	62	1	0.999134710972338	0.0482859531772575	0.0713805839537748
HSPA8	86	1	1.06332811541984	0.819010591232069	0.0982524040359914
IFNAR1	19	3	0.843346200442064	0.314893617021277	0.232118864694449
IGF1	17	4	1.56476804169014	0.023643949930459	0.597529228138217
IGF1R	47	2	1.11045485460702	0.186170212765957	0.242612860593286
IGFBP5	15	1	2.00010537233584	0.179343128781331	0.439202074613418
IGFBP6	4	1	1.53521011092666	0.0870083432657926	-0.425425067817579
IGSF1	6	1	0.845809050577825	0.0265486725663717	0.0300392763493734
IKBKAP	22	2	0.997889043295774	0.161172161172161	0.135207912509509
IKBKB	70	2	1.04624536035644	0.420118343195266	-0.0148622701239086
IKBKE	337	1	0.618835788679649	0.336907497684175	-0.0743048609556388
IKBKG	162	1	0.898722023866577	0.336907497684175	-0.290609693313358
IL2RB	22	1	0.613437001278398	0.00829875518672199	-0.0789245688766736
ILK	72	0	1.05592459111165	0.108595988538682	-0.158952340250097
IMPDH2	11	0	1.01363327584673	0.241088788075178	-0.193297881074135
INSR	45	1	1.17454114020087	0.260714285714286	0.0155330720988947
IRAK1	43	2	0.833996634569609	0.251920122887865	-0.070715396934048
IRS1	63	3	1.80432203775122	0.640776699029126	0.0383953244322193
ITGB1	118	3	1.12030291344969	0.122341641893437	0.198409726387458
ITGB4BP	81	2	0.99242501993917	0.336907497684175	0.00411980249671091
JUN	104	1	1.13482586814311	0.232105263157895	0.266346635742451
KIAA1377	75	1	0.494708051364405	0.336907497684175	0.174438792719306
KRTAP4-12	82	1	0.916234010490624	0	0.00411980249671091
LCK	77	1	0.410376480066743	0.00454132606721163	-0.176333349190189
LIMS1	34	0	1.1810624161384	0.157950726908679	0.287688690376978
LOC388344	94	0	1.03867475061157	0.336907497684175	0.00411980249671091
LOC388524	115	1	0	0.336907497684175	0.00411980249671091
LOC393079	95	0	0	0.336907497684175	0.00411980249671091
LSM2	117	1	0.808478543939237	0.355932203389831	0.00411980249671091
LYAR	84	1	0.717553375615023	0.0691699604743083	0.0763442653308161
LYN	72	2	0.514756041554245	0.00647482014388489	0.296087002644533
MAGOH	121	1	0.96393139068428	0.193456614509246	-0.163943283635447
MAP2K1	29	1	1.10735851797697	0.409495548961424	0.016438094473807
MAP2K2	16	2	0.975370817756847	1.25405405405405	-0.310020273219698
MAP2K4	14	1	1.07491003108394	0.250620347394541	0.0571119329935197
MAP3K1	146	1	0.719512533626992	0.0396825396825397	0.1442332936159
MAP3K11	14	2	0.815018810322062	0.194774346793349	-0.0984909017590438
MAP3K14	138	0	0.937166631884648	0.336907497684175	0.174833769360265
MAP3K3	188	2	0.928608797500551	0.340236686390533	0.230667467950494
MAP3K5	12	1	0.83761323824874	0.0263713080168776	0.204977787093655
MAP3K7	85	0	0.984474292219051	0.321951219512195	0.17643749949431
MAP3K7IP1	40	0	0.877160871549025	0.336907497684175	0.00411980249671091
MAP3K7IP2	44	1	1.05256463553767	0.336907497684175	0.00411980249671091
MAP3K8	6	1	0.965334020916348	0.00973393900064893	0.343457723408736
MAPK1	79	1	0.969067233409047	0.25964252116651	0.139817352273934
MAPK14	69	1	0.988073792314843	0.225283630470016	0.11744883964373
MAPKAPK2	43	1	1.05133806561293	0.604878048780488	0.131031230410557
MCC	226	0	1.22598340405083	0.055363321799308	0.431900800313225
MDK	91	2	0.9096340121359	0.00928217821782178	-0.409940125409239
MIRN133A1	0	0	0.95358245267287	0.336907497684175	0.00411980249671091
MIRN133B	0	0	0	0.336907497684175	0.00411980249671091
MYC	288	2	0.885383771511844	0.0207197382769902	0.330781606477967
MYOD1	36	1	1.62581490078875	7.76923076923077	0.00411980249671091
MYOG	12	1	1.73456755048579	8.1025641025641	0.00411980249671091
NCBP1	134	1	1.03136700375498	0.323353293413174	0.120855986344827
NCBP2	194	1	1.00273183701289	0.36852207293666	-0.022144954924773
NCF1	19	0	0.412316777492373	0.00405092592592593	-0.214309872704156
NDRG1	64	1	0.968607781632617	0.0394900497512438	0.0428684930617924
NEDD4	22	2	1.57113514547837	0.632286995515695	0.172821421481189
NFKB2	147	1	0.87908996250682	0.0893470790378007	-0.0271516256636497
NFKBIA	78	1	1.03956970973453	0.0544176092937939	0.220557656950384
NFKBIB	83	1	0.96128415100779	0.284584980237154	-0.142971150088098
NOV	10	3	1.43778124756627	0.00236630383341221	-0.00829322993607941
NR3C1	87	3	1.08100131642026	0.352140077821012	0.108442489385346
NR4A1	14	1	1.13078295503694	0.0612505997121382	0.341384407855912
PABPC1	267	1	0.962564334915454	0.041423377767985	0.113164556084653
PAFAH1B3	38	1	0.800469405132231	0.319148936170213	-0.517009859278212
PAK1	146	1	1.09071042512869	0.367772511848341	0.12459749551207
PAK2	53	2	0.992056153765948	0.270029673590504	0.205576157292002
PCNA	115	0	0.888532779849325	0.0558139534883721	-0.187213535964967
PDPK1	29	1	0.97911635586877	0.30976430976431	0.230869533156476
PEBP1	23	2	1.08256904076553	0.180195739781232	-0.267528070530256
PHYHIP	26	1	0.926384166388246	0.0045045045045045	0.26253036700576
PIK3CG	60	1	0.590344819496641	0.00371747211895911	0.574929068270892
PIK3R1	99	0	1.12406089186112	0.307875894988067	0.182369255781227
PIN1	78	1	0.995031323174069	0.587797619047619	-0.291674379931514
PINX1	102	1	0.511315189102218	0.2	-0.190261112613281
PKN2	10	1	0.969885021108367	0.136054421768707	0.0368572998985149
PLSCR1	69	2	0.69419137529349	0.0440647482014389	0.146835842480702
PML	68	3	0.844787721397023	0.161931818181818	0.108396558807994
PNN	14	1	0.980697163609944	0.278082191780822	0.0348532775401841
POLR2B	191	1	1.07281965292236	0.505962521294719	0.205190721203617
POLR2L	212	1	1.06856896261473	0.738021638330757	-0.0673275215029343
PPP2CA	27	3	1.05715454403817	0.440401505646173	0.00531770214885584
PRKAB1	159	2	0.738141255285729	0.0899795501022495	-0.186147878891962
PRKCA	46	1	1.13805904168766	0.0950570342205323	0.323707397018348
PRKCD	31	2	0.541449882596987	0.018450184501845	-0.0879218955898363
PRKCE	18	1	0.854275891993508	0.0978260869565217	0.141232154718833
PRKCI	24	1	1.11517314875739	0.120967741935484	0.13482690435535
PRKCZ	40	1	0.440562420743374	0.00604229607250755	-0.320475441317047
PRKD1	13	1	1.27231732690985	0.0487804878048781	0.129058432479024
PSMD11	72	1	1.08917107709278	1.01330376940133	0.193543894160246
PTBP1	128	1	0.640521591423559	0.14	-0.0274005335633567
PTK2	70	2	1.25733605658381	0.291350531107739	0.0771508609153315
PTK2B	49	1	0.863573280644931	0.0182992465016146	0.0778908482405515
PTPN11	84	2	1.13189962714762	0.387218045112782	0.335395753199886
PXN	144	1	1.10310738250898	0.56393001345895	-0.0686346924709329
RAC1	78	1	1.07004002431528	0.320488118175979	-0.119079876842058
RAF1	79	2	1.10054990491972	0.854922279792746	0.0663848960295994
RARA	49	2	1.00979879074417	0.197080291970803	0.0201364237423789
RASA1	56	1	0.947122132480714	0.0279187817258883	0.0676819848178294
RB1	136	1	1.05509128426168	0.281914893617021	0.207570398661083
RELA	180	1	0.976454623819598	0.287301587301587	0.138214264237553
RELB	70	1	0.917252249337464	0.0796812749003984	0.0888119479016968
RIPK1	54	1	0.993155493016938	0.164893617021277	0.0331750830297748
RIPK2	48	1	0.690526226807084	0.00778816199376947	0.180605813062387
RIPK3	90	1	0.397135655079976	0.0464285714285714	-0.136795967712812
RNPS1	211	0	1.01486159517867	0.661167512690355	-0.261806373497873
RPL10	95	0	1.03654986226172	0.513456464379947	-0.142956589946645
RPL12	94	1	1.06429953669653	0.675294117647059	-0.426396009422118
RPL18	96	0	1.01630052221109	0.260896497353306	-0.507473783233375
RPL18A	108	1	0.36804456616709	0.610241820768136	-0.487879061520838
RPL21	95	1	1.05806970182774	0.408849557522124	-1.3315927071192
RPL22	102	1	1.06163397358498	0.218368021143046	-0.243050082214517
RPL23	103	2	1.04209560432952	0.31632417455553	-0.286926367268719
RPL23A	108	0	1.05657118158838	0.374193548387097	-0.342275666353455
RPL26	101	0	1.0514946531004	0.371700237707995	-0.373241633055614
RPL27	94	1	1.05681077672876	0.606132879045997	-0.782811568749733
RPL27A	91	1	1.01055978917496	0.56101906288972	-0.287422986793348
RPL3	112	3	1.008451463668	0.0423883105363895	-0.156288353373902
RPL30	95	1	1.06195543260171	0.3883557897877	-0.0949440278342342
RPL31	103	0	1.01542924022963	0.345974025974026	-0.334999395189236
RPL32	101	2	1.06660156539016	0.419349593495935	-0.39761596538039
RPL35A	100	1	1.03475822554656	0.258085428221566	-0.374343988643472
RPL36	106	1	1.0599178648432	0.230469572541588	-0.368483842115878
RPL38	100	1	1.05602863465074	0.773598700243704	0.24429686541605
RPL4	98	1	1.05660958290904	0.602603302175242	-0.0567349748947005
RPL5	100	1	1.05386885261309	0.181618629509448	-0.239025813040877
RPL6	97	0	1.05794983090863	0.536268829663963	-0.212773094812721
RPL7	102	2	1.04550983650783	0.254573563514558	-0.203727474836107
RPL7A	96	0	0	0.213420316868593	-0.298232761282789
RPLP0	98	1	1.05027056794549	0.378373242113265	-0.128621968384438
RPLP1	110	2	1.06920233479111	1.60385064177363	-0.678649421883489
RPLP2	97	1	1.0444308550837	0.629115430384768	-0.804962794177952
RPS10	122	0	1.03783324887669	0.324532900081235	-0.520535832202476
RPS11	129	0	1.06596921997862	0.351628264947809	-0.258749243258856
RPS12	113	0	1.06248840233167	0.293732460243218	-0.713325687309044
RPS13	117	1	1.06471387253195	0.468415529905561	-0.289535038609601
RPS14	132	0	1.03249591237581	0.398124247117536	-0.260839475033477
RPS15A	117	1	1.06158688925993	0.438584194848432	-0.515803075615316
RPS16	134	0	1.05823834359229	0.338792549775209	-0.252606662805129
RPS18	117	0	1.05826362190465	0.573041637261821	0.00411980249671091
RPS19	128	1	1.03562976945745	0.298222222222222	-0.37943828038063
RPS20	117	1	1.06814432429314	0.292547346648568	-0.499924986244911
RPS24	116	3	1.05639377681329	0.342129125861444	-0.498685752633649
RPS25	114	1	1.06124485806303	0.563118811881188	-0.545472547356215
RPS26	118	0	0.516477996619465	0.502654867256637	-0.562172204816357
RPS27	124	1	1.05273943245079	0.265393794749403	0.185667852427551
RPS27A	213	0	1.0632918383461	0.399277326106594	-0.437420121725727
RPS28	118	1	1.03895793181223	0.266260162601626	-0.196853384887073
RPS3	123	2	1.03468655475667	0.185256256496362	-0.240372915604883
RPS3A 	148	0	1.05716632370968	0.336907497684175	0.00411980249671091
RPS4X	119	0	1.06626184073742	0.248094927062922	-0.389783879111679
RPS5	117	1	1.03111692917893	0.304029304029304	-0.302018981925888
RPS6	119	0	1.05886891860362	0.221531203088141	-0.0540624226548194
RPS6KB1	7	1	1.16930756257043	0.528795811518325	0.0239553805826635
RPS7	115	0	1.03923017590615	0.289867109634551	-0.485022174914394
RPS8	119	1	1.06859946350476	0.228162291169451	-0.314303974445909
RPS9	130	1	1.06933882159464	0.407430087773015	-0.306715814356109
RXRA	69	0	1.03026129822243	0.730612244897959	0.017043048663969
SF3A1	123	1	0.940569438676667	0.322053675612602	0.280654673142938
SF3B1	127	0	1.04209457939612	0.253007518796992	0.150086282182688
SF3B3	121	0	0.996232477334817	0.279559118236473	0.127535436579984
SFRS1	137	1	1.06060806505931	0.336907497684175	0.00411980249671091
SFRS11	116	0	1.01455678432664	0.336907497684175	0.00411980249671091
SFRS3	118	1	1.02713135956847	0.336907497684175	0.00411980249671091
SFRS4	116	0	1.02557419390063	0.336907497684175	0.00411980249671091
SFRS6	116	0	1.07927693323408	0.336907497684175	0.00411980249671091
SHC1	97	2	1.00098035964872	0.184084372003835	0.201284446989048
SKP1A	97	1	1.06384797929349	0.336907497684175	0.00411980249671091
SLC25A6	89	0	0.993405317642033	0.0933499843896347	-0.191733336140196
SLC36A2	103	2	3.35905487245579	0.596006144393241	0.00411980249671091
SMAD3	129	0	1.31259639572011	0.449462365591398	0.0206885183434205
SMAD4	139	2	1.16338153124393	0.375	-0.0146741216341911
SNCA	23	0	0.687068166376152	0.000365363536719035	0.112523712532404
SNRP70	110	2	1.02347386754881	0.336907497684175	0.00411980249671091
SP1	76	0	1.06472636622413	0.218934911242604	0.256882407834516
SRC	128	0	0.951841865349169	0.0153321976149915	-0.245541258221041
SRRM1	119	0	1.04743219775289	0.397286821705426	0.112765507289185
STAT3	68	0	1.13851188746091	0.371975806451613	0.470805749567737
STAT5A	37	1	1.03591056052542	0.0930521091811414	0.0358767400612306
STAU1	38	1	1.0688976597246	0.315994798439532	0.101451988290689
STIP1	36	0	1.04495796658137	0.373245251857969	0.0807403350611582
TBK1	54	0	1.01574482335844	0.157142857142857	0.130255822305702
TGFBR1	150	2	1.17071783589286	0.0777096114519427	0.147526300222483
THBS1	30	3	1.05635864372423	0.00155189136760427	0.739170770620011
TIMM50	26	0	1.22525331625666	0.689655172413793	-0.0583608213904252
TNFRSF1A	147	2	1.08688290376247	0.17003367003367	0.0616514188023172
TNFRSF1B	108	0	0.545889586886364	0.0378310214375788	0.202378549102793
TNFSF11	9	0	0.833267952657621	0	0.0186294520645817
TNIK	80	0	1.2234445546235	0.468992248062016	0.454429715475724
TP53	269	0	1.04536415348056	0.0982532751091703	-0.067272088066182
TPR	172	0	0.99920263519512	0.181425485961123	0.278732702734602
TRADD	64	0	0.799879145792774	0.135922330097087	-0.244813079832219
TRAF1	61	1	0.75019196670879	0.0268456375838926	-0.113680714705126
TRAF2	192	0	0.870915424738377	0.166666666666667	-0.317971578805594
TRAF4	15	1	0.795044629167778	0.0138888888888889	-0.314583784051936
TRAF6	381	0	1.02296656753437	0.16793893129771	0.118240381531624
TRIM24	184	0	0.915242076637978	0.159375	0.110446573008518
TSC2	15	0	1.02979931504368	0.463362068965517	-0.143441982598414
TUBB4	47	0	0.929305805607718	0.336907497684175	0.0113030015204743
U2AF2	178	1	1.06152664974643	0.245674740484429	0.0145929945464436
UBA52	189	1	1.051745654406	0.438073394495413	-0.33105423716363
UBB	127	0	1.05983113649254	0.868785399622404	-0.345321898460012
UBQLN2	102	1	1.1298242940692	0.402203856749311	0.00254947534928546
VAV1	62	1	0.663525487127959	0.00618556701030928	0.00732672126449819
VCL	110	1	1.15339304619365	0.186542923433875	0.218474987051054
VHL	215	1	1.02756585639436	0.146907216494845	0.0578807473564137
XPO1	109	1	0.917351401903114	0.282840236686391	-0.0186459805003837
XPO5	15	1	0.380020379993198	0.227848101265823	0.208176088161442
XRCC6	97	1	1.01581824977822	0.676124567474048	0.0183232020875372
YWHAB	126	1	1.02894239421381	0.14694236691597	0.0245362605299788
YWHAE	65	1	1.19577897937378	0.813923105636432	0.0643461561950948
YWHAG	189	1	0.74810242909286	0.456569343065693	0.259699998396643
YWHAH	40	1	0.979698113505384	0.059478672985782	-0.0503507853346819
YWHAQ	78	2	1.01688586483816	0.0807635829662261	0.00402566439873804
YWHAZ	110	4	0.979685610125798	0.0457011686143573	0.0582855231631071
ZBTB16	92	2	1.26285868730544	0.641666666666667	1.05059372765916
