Gene	Connectivity.score	Relevance.score	Localisation.score
EPOR	34	2	0.778440028524573
ETF1	92	2	0.908200559802995
EWSR1	128	1	0.984559053688511
FHL2	19	2	1.45571871934649
FRAP1	15	1	1.11084196874155
FTS	22	2	1.26158701323893
FTSJ1	105	1	1.09090462111023
FUS	127	1	1.00398951387282
GAPDH	45	3	1.06414861855568
GBP4	115	2	1.03962583157423
GEMIN4	36	1	0.84536537089547
GH1	85	0	1.03003034591654
GNB2L1	64	1	1.03892910418146
GRB2	454	0	0.900298508146349
GSK3B	81	1	1.16170011131802
GSTK1	97	3	1.03740422461335
HDAC1	136	0	0.855398645656637
HDAC2	60	2	1.04651377090942
HDAC4	26	1	1.29063652370303
HGS	39	1	0.907297519522233
HIF1A	38	4	0.851934110839016
HLA-B	278	0	0.951782688234401
HNRPD	124	1	1.00449014329947
HNRPK	153	1	1.04390799219553
HNRPL	132	2	1.04828695648573
HNRPU	131	1	1.03406582719153
HSF1	29	2	1.1970291340735
HSP90AA1	87	0	1.05597764190552
HSP90AB1	74	1	1.07628956585172
HSPA1B	222	1	0
HSPA5	62	1	0.999134710972338
HSPA8	86	1	1.06332811541984
IFNAR1	19	3	0.843346200442064
IGF1	17	4	1.56476804169014
IGF1R	47	2	1.11045485460702
IGFBP5	15	1	2.00010537233584
IGFBP6	4	1	1.53521011092666
IGSF1	6	1	0.845809050577825
IKBKAP	22	2	0.997889043295774
IKBKB	70	2	1.04624536035644
IKBKE	337	1	0.618835788679649
IKBKG	162	1	0.898722023866577
IL2RB	22	1	0.613437001278398
ILK	72	0	1.05592459111165
IMPDH2	11	0	1.01363327584673
INSR	45	1	1.17454114020087
IRAK1	43	2	0.833996634569609
IRS1	63	3	1.80432203775122
ITGB1	118	3	1.12030291344969
ITGB4BP	81	2	0.99242501993917
JUN	104	1	1.13482586814311
KIAA1377	75	1	0.494708051364405
KRTAP4-12	82	1	0.916234010490624
LCK	77	1	0.410376480066743
LIMS1	34	0	1.1810624161384
LOC388344	94	0	1.03867475061157
LOC388524	115	1	0
LOC393079	95	0	0
LSM2	117	1	0.808478543939237
LYAR	84	1	0.717553375615023
LYN	72	2	0.514756041554245
MAGOH	121	1	0.96393139068428
MAP2K1	29	1	1.10735851797697
MAP2K2	16	2	0.975370817756847
MAP2K4	14	1	1.07491003108394
MAP3K1	146	1	0.719512533626992
MAP3K11	14	2	0.815018810322062
MAP3K14	138	0	0.937166631884648
MAP3K3	188	2	0.928608797500551
MAP3K5	12	1	0.83761323824874
MAP3K7	85	0	0.984474292219051
MAP3K7IP1	40	0	0.877160871549025
MAP3K7IP2	44	1	1.05256463553767
MAP3K8	6	1	0.965334020916348
MAPK1	79	1	0.969067233409047
MAPK14	69	1	0.988073792314843
MAPKAPK2	43	1	1.05133806561293
MCC	226	0	1.22598340405083
MDK	91	2	0.9096340121359
MIRN133A1	0	0	0.95358245267287
MIRN133B	0	0	0
MYC	288	2	0.885383771511844
MYOD1	36	1	1.62581490078875
MYOG	12	1	1.73456755048579
NCBP1	134	1	1.03136700375498
NCBP2	194	1	1.00273183701289
NCF1	19	0	0.412316777492373
NDRG1	64	1	0.968607781632617
NEDD4	22	2	1.57113514547837
NFKB2	147	1	0.87908996250682
NFKBIA	78	1	1.03956970973453
NFKBIB	83	1	0.96128415100779
NOV	10	3	1.43778124756627
NR3C1	87	3	1.08100131642026
NR4A1	14	1	1.13078295503694
PABPC1	267	1	0.962564334915454
PAFAH1B3	38	1	0.800469405132231
PAK1	146	1	1.09071042512869
PAK2	53	2	0.992056153765948
PCNA	115	0	0.888532779849325
PDPK1	29	1	0.97911635586877
PEBP1	23	2	1.08256904076553
PHYHIP	26	1	0.926384166388246
PIK3CG	60	1	0.590344819496641
PIK3R1	99	0	1.12406089186112
PIN1	78	1	0.995031323174069
PINX1	102	1	0.511315189102218
PKN2	10	1	0.969885021108367
PLSCR1	69	2	0.69419137529349
PML	68	3	0.844787721397023
PNN	14	1	0.980697163609944
POLR2B	191	1	1.07281965292236
POLR2L	212	1	1.06856896261473
PPP2CA	27	3	1.05715454403817
PRKAB1	159	2	0.738141255285729
PRKCA	46	1	1.13805904168766
PRKCD	31	2	0.541449882596987
PRKCE	18	1	0.854275891993508
PRKCI	24	1	1.11517314875739
PRKCZ	40	1	0.440562420743374
PRKD1	13	1	1.27231732690985
PSMD11	72	1	1.08917107709278
PTBP1	128	1	0.640521591423559
PTK2	70	2	1.25733605658381
PTK2B	49	1	0.863573280644931
PTPN11	84	2	1.13189962714762
PXN	144	1	1.10310738250898
RAC1	78	1	1.07004002431528
RAF1	79	2	1.10054990491972
RARA	49	2	1.00979879074417
RASA1	56	1	0.947122132480714
RB1	136	1	1.05509128426168
RELA	180	1	0.976454623819598
RELB	70	1	0.917252249337464
RIPK1	54	1	0.993155493016938
RIPK2	48	1	0.690526226807084
RIPK3	90	1	0.397135655079976
RNPS1	211	0	1.01486159517867
RPL10	95	0	1.03654986226172
RPL12	94	1	1.06429953669653
RPL18	96	0	1.01630052221109
RPL18A	108	1	0.36804456616709
RPL21	95	1	1.05806970182774
RPL22	102	1	1.06163397358498
RPL23	103	2	1.04209560432952
RPL23A	108	0	1.05657118158838
RPL26	101	0	1.0514946531004
RPL27	94	1	1.05681077672876
RPL27A	91	1	1.01055978917496
RPL3	112	3	1.008451463668
RPL30	95	1	1.06195543260171
RPL31	103	0	1.01542924022963
RPL32	101	2	1.06660156539016
RPL35A	100	1	1.03475822554656
RPL36	106	1	1.0599178648432
RPL38	100	1	1.05602863465074
RPL4	98	1	1.05660958290904
RPL5	100	1	1.05386885261309
RPL6	97	0	1.05794983090863
RPL7	102	2	1.04550983650783
RPL7A	96	0	0
RPLP0	98	1	1.05027056794549
RPLP1	110	2	1.06920233479111
RPLP2	97	1	1.0444308550837
RPS10	122	0	1.03783324887669
RPS11	129	0	1.06596921997862
RPS12	113	0	1.06248840233167
RPS13	117	1	1.06471387253195
RPS14	132	0	1.03249591237581
RPS15A	117	1	1.06158688925993
RPS16	134	0	1.05823834359229
RPS18	117	0	1.05826362190465
RPS19	128	1	1.03562976945745
RPS20	117	1	1.06814432429314
RPS24	116	3	1.05639377681329
RPS25	114	1	1.06124485806303
RPS26	118	0	0.516477996619465
RPS27	124	1	1.05273943245079
RPS27A	213	0	1.0632918383461
RPS28	118	1	1.03895793181223
RPS3	123	2	1.03468655475667
RPS3A 	148	0	1.05716632370968
RPS4X	119	0	1.06626184073742
RPS5	117	1	1.03111692917893
RPS6	119	0	1.05886891860362
RPS6KB1	7	1	1.16930756257043
RPS7	115	0	1.03923017590615
RPS8	119	1	1.06859946350476
RPS9	130	1	1.06933882159464
RXRA	69	0	1.03026129822243
SF3A1	123	1	0.940569438676667
SF3B1	127	0	1.04209457939612
SF3B3	121	0	0.996232477334817
SFRS1	137	1	1.06060806505931
SFRS11	116	0	1.01455678432664
SFRS3	118	1	1.02713135956847
SFRS4	116	0	1.02557419390063
SFRS6	116	0	1.07927693323408
SHC1	97	2	1.00098035964872
SKP1A	97	1	1.06384797929349
SLC25A6	89	0	0.993405317642033
SLC36A2	103	2	3.35905487245579
SMAD3	129	0	1.31259639572011
SMAD4	139	2	1.16338153124393
SNCA	23	0	0.687068166376152
SNRP70	110	2	1.02347386754881
SP1	76	0	1.06472636622413
SRC	128	0	0.951841865349169
SRRM1	119	0	1.04743219775289
STAT3	68	0	1.13851188746091
STAT5A	37	1	1.03591056052542
STAU1	38	1	1.0688976597246
STIP1	36	0	1.04495796658137
TBK1	54	0	1.01574482335844
TGFBR1	150	2	1.17071783589286
THBS1	30	3	1.05635864372423
TIMM50	26	0	1.22525331625666
TNFRSF1A	147	2	1.08688290376247
TNFRSF1B	108	0	0.545889586886364
TNFSF11	9	0	0.833267952657621
TNIK	80	0	1.2234445546235
TP53	269	0	1.04536415348056
TPR	172	0	0.99920263519512
TRADD	64	0	0.799879145792774
TRAF1	61	1	0.75019196670879
TRAF2	192	0	0.870915424738377
TRAF4	15	1	0.795044629167778
TRAF6	381	0	1.02296656753437
TRIM24	184	0	0.915242076637978
TSC2	15	0	1.02979931504368
TUBB4	47	0	0.929305805607718
U2AF2	178	1	1.06152664974643
UBA52	189	1	1.051745654406
UBB	127	0	1.05983113649254
UBQLN2	102	1	1.1298242940692
VAV1	62	1	0.663525487127959
VCL	110	1	1.15339304619365
VHL	215	1	1.02756585639436
XPO1	109	1	0.917351401903114
XPO5	15	1	0.380020379993198
XRCC6	97	1	1.01581824977822
YWHAB	126	1	1.02894239421381
YWHAE	65	1	1.19577897937378
YWHAG	189	1	0.74810242909286
YWHAH	40	1	0.979698113505384
YWHAQ	78	2	1.01688586483816
YWHAZ	110	4	0.979685610125798
ZBTB16	92	2	1.26285868730544
